Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferPips,InpSLfromDoji,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
21,-6469.06,-18.22270,0.89330,-0.29607,-1.32590,21.2416,355,-1.8322,-225,-3000.68,10,1,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
29,-5895.37,-16.60668,0.90311,-0.27602,-1.19474,20.7638,355,-1.8310,-226,-3003.81,10,1,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
17,7736.73,17.82657,1.17876,0.79337,1.68793,9.2062,434,-1.5631,-296,-3086.23,10,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
1,6658.10,15.52005,1.15469,0.68225,1.49416,9.2551,429,-1.5650,-295,-3069.49,10,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
25,8309.58,19.14650,1.19139,0.88216,1.79496,8.8776,434,-1.5605,-298,-3091.41,10,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
5,-7642.19,-21.83483,0.87322,-0.34226,-1.61393,21.7148,350,-1.8322,-223,-2988.54,10,1,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
14,2923.15,7.43804,1.05875,0.20572,0.62505,13.4132,393,-1.6797,-217,-3092.45,15,1,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
10,5141.17,11.32416,1.13350,0.49893,1.25386,9.7822,454,-1.4471,-247,-3055.50,15,0,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
22,3252.05,8.23304,1.06516,0.23432,0.68887,13.0843,395,-1.6793,-218,-3096.03,15,1,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
30,3788.10,9.59013,1.07563,0.27966,0.79483,12.7538,395,-1.6793,-219,-3103.03,15,1,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
18,5442.99,11.93638,1.14096,0.54227,1.31575,9.5146,456,-1.4449,-248,-3055.50,15,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
26,5899.12,12.93667,1.15239,0.60345,1.41378,9.2530,456,-1.4470,-250,-3065.18,15,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
2,4540.23,10.06703,1.11814,0.45243,1.12587,9.5501,451,-1.4464,-247,-3045.83,15,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
6,2189.27,5.61351,1.04410,0.15643,0.47623,13.2392,390,-1.6798,-217,-3085.72,15,1,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
15,7245.74,17.04880,1.17992,0.74410,1.62687,9.3179,425,-1.7145,-277,-3033.22,20,1,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
11,2734.29,5.84250,1.07700,0.26071,0.73606,10.0501,468,-1.3933,-201,-3016.35,20,0,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
23,7523.87,17.62030,1.18633,0.79594,1.67537,9.0351,427,-1.7136,-279,-3033.22,20,1,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
31,8004.64,18.74623,1.19772,0.87460,1.76579,8.7380,427,-1.7143,-280,-3038.44,20,1,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
19,3000.61,6.37072,1.08432,0.29297,0.80092,9.8019,471,-1.3930,-213,-3020.45,20,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
27,3400.78,7.22034,1.09533,0.33954,0.90023,9.5731,471,-1.3945,-213,-3027.33,20,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
3,2246.71,4.82127,1.06338,0.21975,0.61448,9.8179,466,-1.3930,-212,-3009.46,20,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
7,6595.22,15.62848,1.16408,0.69091,1.50361,9.1514,422,-1.7146,-277,-3023.45,20,1,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
