Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLbufferPips,InpSLfromDoji,InpTP2_ATRmult,InpTF,InpTmaSlow,InpAtrSlow,InpMultSlow,InpTmaFast,InpAtrFast,InpMultFast,InpDojiBodyMaxPct,InpUseHeikinAshi,InpRequireOutSlow,InpRequireColorFlip,InpAllowLong,InpAllowShort,InpUseEma200Bias,InpEma200Period,InpEma14Period,InpUseWPR,InpWprPeriod,InpWprOB,InpWprOS,InpAtrExitPeriod,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpRiskPercent,InpMaxTradesPerDay,InpMaxPositions,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpSlippagePts
5,-9758.61,-34.48272,0.83197,-0.70100,-2.76161,13.3995,283,-1.6524,-2015,-5981.80,10,1,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
9,2500.06,8.03878,1.05767,0.34466,0.75011,6.6575,311,-1.4434,-2072,-4221.32,10,0,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
21,-8588.57,-29.51399,0.85267,-0.66253,-2.35914,12.4528,291,-1.6535,-2012,-5996.24,10,1,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
29,-9256.38,-31.80887,0.84089,-0.67903,-2.54736,13.0949,291,-1.6535,-2012,-5996.24,10,1,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
25,2178.62,6.98276,1.05032,0.30139,0.65054,6.6554,312,-1.4434,-2072,-4206.48,10,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
17,2773.00,8.88782,1.06393,0.38162,0.82698,6.6518,312,-1.4434,-2072,-4227.30,10,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
14,-3260.78,-10.72625,0.93509,-0.35317,-0.92819,8.7923,304,-1.4921,-2114,-3988.71,15,1,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
6,-3993.57,-13.44636,0.92032,-0.40823,-1.15695,9.3314,297,-1.4921,-2119,-3960.29,15,1,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
2,1492.55,4.73825,1.03874,0.25455,0.48755,5.6176,315,-1.3159,-2063,-3113.94,15,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
10,1991.35,6.18432,1.05163,0.32729,0.64097,6.0046,322,-1.3198,-2063,-3132.91,15,0,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
22,-2977.29,-9.76161,0.94076,-0.33254,-0.84186,8.5260,305,-1.4938,-2114,-4001.11,15,1,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
30,-3613.27,-11.84679,0.92797,-0.37709,-1.02333,9.1247,305,-1.4938,-2114,-3976.82,15,1,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
26,1406.39,4.35415,1.03653,0.23115,0.44937,6.0046,323,-1.3198,-2063,-3111.35,15,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
18,2393.80,7.41115,1.06201,0.39344,0.76419,6.0046,323,-1.3198,-2063,-3145.25,15,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
7,-4475.69,-14.82017,0.90219,-0.47345,-1.28143,9.1202,302,-3.1671,-2044,-3938.74,20,1,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
15,-3888.99,-12.58573,0.91516,-0.40350,-1.09741,9.2985,309,-3.1671,-2038,-3964.09,20,1,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
3,4690.07,13.75387,1.14793,0.80829,1.56491,5.7780,341,-1.2318,-2055,-2954.83,20,0,1.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
11,5123.28,14.72207,1.16149,0.83488,1.68774,6.1047,348,-1.2318,-2055,-2954.83,20,0,2.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
23,-3624.97,-11.69345,0.92096,-0.37611,-1.01720,9.2985,310,-3.1671,-2038,-3974.18,20,1,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
31,-4194.47,-13.53055,0.90838,-0.43520,-1.17868,9.2985,310,-3.1671,-2038,-3952.44,20,1,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
27,4582.03,13.12903,1.14462,0.74668,1.49892,6.1047,349,-1.2318,-2055,-2954.83,20,0,3.0,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
19,5500.71,15.76135,1.17327,0.89639,1.79839,6.1047,349,-1.2318,-2055,-2954.83,20,0,2.5,16385,56,100,2,14,30,2,10,1,0,1,1,1,0,200,14,0,14,-20,-80,14,0,50,1,1,1,0,1,0,abtg_news.csv,3,60,30,0,,PTE,771301,0,1,0
