Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Decor Mad Snc di Rosciano Fabrizio & C.,,"Via Torre, 90 - 47814",Bellaria-Igea Marina,RN,333 4642542,decormad@mail.com,,,"tinteggiature interni ed esterni (anche facciate condominiali), imbiancature, stucchi e finiture decorative, cartongesso, cappotti termici, intonaci deumidificanti, ristrutturazioni",6.2,https://decormad.it/,decormad.it e PagineGialle via WebSearch
New Color di Arduini Davide,,"Viale Albana, 36 - 47838",Riccione,RN,0541 694135 / 338 2502321,,,,"tinteggiature e verniciature civili e industriali, imbiancature in tutta la provincia di Rimini",22.2,,PagineGialle/PagineBianche via WebSearch
Il Resinificio Srl,,"Via Tazio Nuvolari, 53 - 47843",Misano Adriatico,RN,338 8015521,info@ilresinificio.it,,,"pavimenti in resina, rivestimenti in resina civili e decorativi, laboratorio e showroom",4.2,https://www.ilresinificio.it/,ilresinificio.it e reteimprese.it via WebSearch
Sartori Costruzioni Srl,03717940401,"Via Saverio Mercadante, 16",Cattolica,RN,335 6913973,sartoricostruzionisrl@gmail.com,,attività da oltre 50 anni,"opere murarie, costruzioni edili, ristrutturazioni complete, vendita diretta immobili; attivi tra Riccione e Cattolica",4,https://www.sartoricostruzionisrl.com/,sartoricostruzionisrl.com (P.IVA 03717940401) via WebSearch
Carpentedil Costruzioni Srl,04154290409,"Via Montone, 14 - 47853",Coriano,RN,0541 656067,,10-15 (2023),2014,"opere murarie, costruzione edifici residenziali e non residenziali, ristrutturazioni, restauro (es. Chiesa San Pio V a Cattolica, ex caserma carabinieri)",11.1,https://www.carpentedilcostruzioni.com/,"carpentedilcostruzioni.com, ufficiocamerale.it/reportaziende.it (P.IVA 04154290409) via WebSearch"
Biancolore Tinteggiature di Giannuzzi Michele,,Via Guevara,Monte Colombo (Montescudo-Monte Colombo),RN,342 0367231,,,,"tinteggiature interne ed esterne, imbiancature, decorazioni, stucchi (marmorino, calce cruda), resine e microcemento, trattamenti antimuffa, verniciatura porte e infissi",8,https://www.biancoloretinteggiature.it/,biancoloretinteggiature.it via WebSearch
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Cantiere Navale Carlini,,,Rimini,RN,,,,,"Cantiere storico: costruzione, restauro e riparazione di imbarcazioni in legno e barche d'epoca",0,,Conoscenza pregressa del settore (cantiere storico riminese); verifica web non eseguibile in questa sessione (budget WebSearch esaurito e WebFetch bloccato)
Marina di Rimini,,,Rimini,RN,,,,,"Porto turistico con area cantiere: alaggio, varo, rimessaggio e servizi di manutenzione/riparazione imbarcazioni",0,https://www.marinadirimini.com,Conoscenza pregressa del settore; verifica web non eseguibile in questa sessione (budget WebSearch esaurito e WebFetch bloccato)
Cantiere Navale Gori (di Gori Natale),00315380402,"Via Sinistra del Porto 178, 47921 Rimini",Rimini,RN,0541 52481,cantierenavalegori@libero.it,,,"Cantiere navale: costruzione e riparazione di pescherecci e imbarcazioni in legno, manutenzione scafi, coperte e lavori meccanici ed estetici su ogni tipo di barca",0,https://cantierenavalegori.it,https://cantierenavalegori.it/index2.html ; https://www.impresaitalia.info/kk03773205/cantiere-navale-gori-natale/rimini.aspx
Cantiere Navale dell'Adriatico di Fabio e Marco Tosi S.n.c.,,"Via Sinistra del Porto 168, 47921 Rimini",Rimini,RN,0541 52151,,,,"Cantiere navale: riparazione e manutenzione imbarcazioni, carpenteria navale",0,,https://www.paginebianche.it/rimini/cantiere-navale-adriatico-fabio-marco-tosi.531265 ; https://aziende.virgilio.it/cantieri-navali/san-giuliano-a-mare-rn/cantiere-navale-adriatico-fabio-marco-tosi
Officina Marittima Bisognani Gianfranco & C. S.n.c.,,"Via Sinistra del Porto 172, 47921 Rimini",Rimini,RN,0541 24841,,,1940,"Officina marittima: progettazione, costruzione e riparazione di eliche navali, timoni, linee d'asse e componenti per la propulsione marina; riparazione e manutenzione imbarcazioni da diporto e navi commerciali",0,https://www.eliche-italia.com,https://www.europages.it/OFFICINA-MARITTIMA-BISOGNANI/SEAC000045557-001.html ; https://aziende.virgilio.it/nautica/san-giuliano-a-mare-rn/officina-marittima-bisognani-gianfranco-c
Rimini Service Yacht & Sail S.r.l.,04215690407,,Rimini,RN,,,,,"Cantiere adiacente al porto canale di Rimini: manutenzione completa e refit di yacht e imbarcazioni di ogni tipo, rimessaggio su piazzale di 7.000 mq, travel lift/gru da 100 t per alaggio e varo; dealer ufficiale Cranchi per l'Adriatico centro-settentrionale",0,https://www.riminiserviceyacht.it,https://www.riminiserviceyacht.it/servizi/ ; https://www.ufficiocamerale.it/8770/rimini-service-yacht-sail-srl
Morri & Para Cantiere Nautico,,,Rimini (Viserba),RN,,,,,"Cantiere nautico artigianale: costruzione barche in legno lamellare (Flying Junior, Flying Dutchman, Beccaccini), allestimenti, manutenzioni, riparazioni e restauri di barche storiche/d'epoca",4.4,https://www.morripara.it,https://www.morripara.it/ ; https://nautica.it/didattica/restaurare-una-barca-depoca/
Cantiere Nautico Morri FM - F.M. di Morri Davide e Morri Giorgio S.r.l.,03716320407,"Via Sant'Apollonia 41, 47814 Bellaria-Igea Marina",Bellaria-Igea Marina,RN,0541 343120,,,2008,"Cantiere navale (ATECO 30.11.02): costruzione di barche per la raccolta di molluschi/vongolare, pescherecci, imbarcazioni per trasporto passeggeri, catamarani e imbarcazioni portuali; rimessaggio, vendita e noleggio barche da lavoro e da diporto",8,http://www.cantierenauticomorri.it,http://www.cantierenauticomorri.it/contatti/ ; https://www.ufficiocamerale.it/5835/fm-di-morri-davide-e-morri-giorgio-societa-a-responsabilita-limitata
Bi Mare di Petrucci Michelangelo e C. S.a.s.,,"Via Urbinati Augusto 13, Bellaria-Igea Marina",Bellaria-Igea Marina,RN,,,,,"Produzione (anche all'ingrosso) di gommoni, battelli pneumatici e canoe",0,,https://aziende.virgilio.it/cantieri-navali/bellaria-igea-marina-rn/bi-mare-petrucci-michelangelo-c
Marina di Riccione (porto turistico),,,Riccione,RN,,,,,Porto turistico con servizi di rimessaggio e assistenza/manutenzione imbarcazioni,22.2,,Conoscenza pregressa del settore (dato da confermare); verifica web non eseguibile in questa sessione (budget WebSearch esaurito e WebFetch bloccato)
Portoverde S.p.A. - Cantiere di Portoverde Marina Resort,,"Via Lungo Darsena 67, 47843 Misano Adriatico",Misano Adriatico (Portoverde),RN,0541 615023,,,,"Cantiere del porto di Portoverde gestito da Portoverde Spa: rimessaggio coperto e scoperto, alaggio e varo con gru fisse da 30 t e 15 t, assistenza meccanica, elettronica e cantieristica, manutenzione imbarcazioni",4.2,https://www.marinadiportoverde.it,https://www.marinadiportoverde.it/en/shipyard/ ; https://assomarinas.it/2019/04/03/portoverde/
Nautica Portoverde S.n.c.,,"Piazza Colombo 52, 47843 Misano Adriatico",Misano Adriatico (Portoverde),RN,,,,,Servizi nautici a Portoverde: rimessaggio e assistenza imbarcazioni,0,,https://aziende.virgilio.it/nautica/misano-adriatico-rn/nautica-portoverde-moroncelli-n-v
Ferretti S.p.A. (stabilimento di Cattolica - Ferretti Yachts),,,Cattolica,RN,,,,1968,Costruzione yacht di lusso a motore (stabilimento produttivo Ferretti Yachts),4,https://www.ferrettigroup.com,Conoscenza pregressa del settore; verifica web non eseguibile in questa sessione (budget WebSearch esaurito e WebFetch bloccato da EGRESS_BLOCKED su tutti i domini)
Cantiere Nautico De Biagi & Magi,02149740413,"Via G. da Verazzano 4, 47841 Cattolica",Cattolica,RN,0541 962149,info@debiagiemagi.com,,,"Cantiere nautico storico (oltre 100 anni): produzione artigianale di barche da pesca, mosconi e pattini in compensato marino e legno massello, piccole imbarcazioni a remi e a motore, catamarani, arredamenti da spiaggia",0,https://www.debiagiemagi.com,https://www.debiagiemagi.com/contatti.php ; https://www.youfinder.it/dettaglio/?id_scheda=1519
M.T.O. Nautica di Ottaviani Marco e Tonti Cristian S.n.c.,02034060406,"Via Mercadante 15, 47841 Cattolica",Cattolica,RN,,,,,"Cantiere/rimessaggio coperto con officina: alaggio, carenaggio, antivegetativa, manutenzione ordinaria e straordinaria di imbarcazioni, cura invernale motori, trattamento teak, verniciature; impianti navali",0,https://www.mtonautica.com,https://www.mtonautica.com/rimessaggio ; https://www.informazione-aziende.it/Azienda_MTO-DI-OTTAVIANI-MARCO-E-TONTI-CRISTIAN-SNC
Nautica Boat Service S.a.s. di Mancini Maurizio,03911140402,,Cattolica,RN,,,,,"Servizi nautici con officina: assistenza e vendita motori fuoribordo, rimessaggio invernale imbarcazioni, ricambi e accessori",0,,https://www.facebook.com/nauticaboatservice/ ; https://m.fatturatoitalia.it/dettaglionautica_boat_service_sas_di_mancini_maurizio-03911140402
