Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Katik S.r.l.,03253561207,Via Conti 15,Castel Maggiore (fraz. Trebbo di Reno),BO,051 6325686,,,,"rifacimento e tinteggiatura facciate, ripristino e rasatura intonaci, rifacimento balconi e tetti, pavimentazioni civili e industriali, opere murarie, ristrutturazioni, manutenzione strade e verde",17.7,https://www.katik.it/,sito aziendale katik.it; P.IVA: ufficiocamerale.it / reportaziende.it
AZ Color Tinteggiature Edili,04200811208,,Calderara di Reno,BO,389 0549517,zenelaja75@gmail.com,,,"imbiancature, tinteggiature interne ed esterne, decorazioni murali, rasature, stuccature, cartongesso, trattamenti antimuffa, ristrutturazioni edili civili",4.1,https://www.azcolorbologna.com/,"sito aziendale azcolorbologna.com; P.IVA: azcolorbologna.com (footer sito, Via Piretti 20 Calderara di Reno)"
Tinteggiature Santini di Santini Claudio,04013390366,Via Antonio Gramsci 234,Sala Bolognese,BO,051 6467035,tinteggiaturasantini@gmail.com,,1969,"tinteggiature e imbiancature interne ed esterne civili e industriali, stucchi decorativi per pareti e soffitti, rivestimenti plastici, intonaci, ripristino cemento armato e facciate, restauro conservativo, rivestimenti termoacustici, idrolavaggio",3.6,https://www.tinteggiaturasantini.com/,"sito aziendale tinteggiaturasantini.com; Pagine Gialle; P.IVA: ufficiocamerale.it (denominazione esatta, sede Via Gramsci 234, Sala Bolognese BO)"
Bianchi Alberto S.r.l.,03336051200,"Via Drappieri 111, Blocco 20","Argelato (Funo, Centergross)",BO,051 6647608 / 392 2401711,,,,"sistemi di isolamento a cappotto interni ed esterni, pavimenti industriali in resina epossidica e autolivellante, impermeabilizzazioni, cartongesso, opere murarie, ristrutturazioni civili e industriali, riqualificazione energetica",6.7,https://www.bianchialberto.it/,"sito aziendale bianchialberto.it; topaziende.quotidiano.net (P.IVA 03336051200); tel: italy724.info / termoidraulici.it / condizionatori24.eu (Via dei Drappieri 111, Argelato - Centergross)"
Nico Costruzioni S.r.l.,03508571209,Via Giovanni Battista Gornia 10,San Giovanni in Persiceto,BO,051 6871487 / 348 1203597,,9,,"cappotto termico e coibentazione pareti/solai/tetti, rifacimento facciate esterne condominiali e intonaci, rifacimento balconi, restauro e risanamento conservativo, consolidamento strutturale, opere murarie, ristrutturazioni",15.1,https://www.nicocostruzioni.com/,"sito aziendale nicocostruzioni.com; ufficiocamerale.it e companyreports.it (P.IVA 03508571209); tel: paginebianche.it / paginegialle.it (Via G.B. Gornia 10, San Giovanni in Persiceto)"
Bio Tek S.r.l.,02106061209,Via Calabria 12,Altedo di Malalbergo,BO,051 870974,info@bio-tek.it,3,,"impresa edile: cappotto termico esterno e interno, impermeabilizzazioni e resine impermeabilizzanti, manutenzioni ordinarie e straordinarie di condomini ed edifici, tinteggiature interne ed esterne, opere murarie, costruzioni e ristrutturazioni",27.8,https://www.bio-tek.it/,sito aziendale bio-tek.it; ufficiocamerale.it (P.IVA 02106061209); companyreports.it
Rica Resine S.r.l.,00692611205,Via I Maggio 5,Castel Guelfo di Bologna,BO,0542 670689,rica@ricaresine.it,,,"resine epossidiche civili e industriali: formulazione e produzione di sistemi in resina per edilizia civile, industria ceramica, alimentare ed elettromeccanica; sabbiatura impianti industriali",28.2,https://www.ricaresine.com/,sito aziendale ricaresine.com; PagineBianche; ufficiocamerale.it (P.IVA 00692611205)
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
PRO BOATS S.R.L.,03154341204,"Via San Nicolò di Villola, 1/1 (officina: Via Agucchi 84/20)",Bologna,BO,335 7112973,info@proboats.it,,,"Importazione, produzione e commercializzazione di imbarcazioni in alluminio e vetroresina; officina assistenza autorizzata Mercury Marine",0,https://www.proboats.org,ufficiocamerale.it / atoka.io / centriassistenza.org
OFFICINE DI MARCO POGGIPOLINI S.R.L.,02697131205,"Via Emilia, 292",San Lazzaro di Savena,BO,051 4987427,,,2006,"Officina meccanica navale: produzione componenti e accessori in titanio e leghe leggere per yacht e cantieri (Wally, Baltic Yachts, Rizzardi, Luna Rossa)",5.8,https://www.marcopoggipolini.com,ufficiocamerale.it / europages.it / reteimprese.it
NAUTICA PAVANI DI PAVANI GERMANO,00568380372,"Via dell'Artigianato, 6",Ozzano dell'Emilia,BO,051 799842,,,,"Officina per la riparazione di barche, vendita e riparazione imbarcazioni ed equipaggiamento nautico",6.2,,ufficiocamerale.it / paginegialle.it / misterimprese.it
TR.EM. S.R.L.,00313680373,"Via Friuli, 5/A",Castel San Pietro Terme (loc. Osteria Grande),BO,051 6950511,,,1968,"Produzione e commercializzazione di accessori e componenti per la nautica (nata come Trecciatura Emiliana, corde elastiche e articoli nautici)",10.1,https://www.trem.net,ufficiocamerale.it / trem.net / aziende.virgilio.it
NAUTICA CLUSTER S.R.L.,01596861201,"Piazza Giovanni XXIII, 7",Dozza (loc. Toscanella),BO,0542 672790,,,1982,"Vendita, allestimento, manutenzione e rimessaggio invernale di imbarcazioni",5.5,http://www.nauticacluster.it,reportaziende.it / paginebianche.it / nauticacluster.it
NAUTICA SPORT NETTUNO R.R. S.A.S. DI RIZZI RAFFAELE & C.,00958100372,"Via Torricelli, 11",Medicina (loc. Fossatone),BO,051 6960051,info@nautica-nettuno.com,,1964,"Concessionario Yamaha Marine con officina di assistenza motori marini, rimessaggio imbarcazioni e servizio gru (area 6000 mq)",13.1,https://nautica-nettuno.com,eulerpool.com / nautica-nettuno.com / hotfrog.it
TS S.R.L.,03451411205,"Via dell'Industria, 8/A",Calderara di Reno,BO,051 728321,,50-99,2015,"Cantiere navale: costruzioni navali metalliche e non metalliche, allestimenti per nautica da diporto (ATECO 30.11.02)",30.7,,ufficiocamerale.it / fatturatoitalia.it / europages.it
TECK PONT S.R.L.,00624241204,"Via Caduti di Sabbiuno, 2",Valsamoggia (loc. Bazzano),BO,051 830539,,10-19,,"Produzione ponti in teak prefabbricati su misura per imbarcazioni, superyacht e RIB (clienti: Ferretti Group, Arcadia Yachts, Anvera); falegnameria nautica",16,https://www.teckpont.it,kompass.com / impresaitalia.info / teckpont.it
