Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
MVT Color di Michael Talpo,02062770389,"Viale Cavour, 50 - 44121",Ferrara,FE,345 4663161,,,2020,tinteggiature (ATECO tinteggiatura e posa in opera di vetri),0,,"ufficiocamerale.it (P.IVA 02062770389, iscritta 05/03/2020)"
Il Colore Non È Tutto di Albieri Danny,01781220387,"Via Gualdo, 38/1 - 44124",Ferrara,FE,,,,2009,tinteggiature (ATECO tinteggiatura e posa in opera di vetri),0,,"ufficiocamerale.it (P.IVA 01781220387, iscritta 25/02/2009)"
Pacchiella Srl,01646360386,"Via Arrigo Boito, 4/A - 44100",Ferrara,FE,0532 975698,,,,"cappotti termici (interni e su impianti civili e industriali), coibentazioni, isolamenti termoacustici, ristrutturazione edilizia, sistemi a secco",0,https://www.pacchiella.it,"sito aziendale pacchiella.it (oltre 50 anni di esperienza), Virgilio Aziende, Impresa Italia (P.IVA 01646360386)"
Vacchi Snc di Vacchi Domenico e Alessandro,01484750383,"Via Iacobella, 3 - 44100",Ferrara,FE,0532 427513,,,,"impresa edile, opere murarie, costruzioni",0,,"MisterImprese, Pagine Gialle, Edilportale; P.IVA: fatturatoitalia.it (Vacchi Snc di Vacchi Domenico e Alessandro e C., Ferrara)"
Impresa Edile Colombani Giacomo,01413980382,"Via Ponte Assa, 196 - 44123",Villanova (Ferrara),FE,0532 427122 / +39 338 7218639 / 338 7218639,colombani.giacomo@alice.it,,1986,"opere murarie, ristrutturazioni civili e industriali, rifacimento tetti, coibentazioni (cappotto), impermeabilizzazioni, riqualificazioni facciate",10.4,https://www.colombanigiacomo.it,"sito aziendale colombanigiacomo.it, PagineBianche; P.IVA: ufficiocamerale.it (COLOMBANI GIACOMO, Ferrara); tel: edilnet.it (pagina contatti Impresa Edile Colombani Giacomo, Via Ponte Assa 196 Villanova) e paginebianche.it"
Bahri Edile,,"Via Palmanova, 5 - 44011",Argenta,FE,335 6697378,,,,"edilizia e opere murarie, imbiancature, tinteggiature, cartongesso, impianti elettrici e idraulici",25,https://www.bahriedile.com,"sito aziendale bahriedile.com (oltre 40 anni nel settore), Pagine Gialle"
Isoedil s.n.c.,,"Via Artigianato, 23 - 44020",San Giuseppe di Comacchio,FE,0533 312194,,,1974,"pavimenti in resina civili e industriali, rivestimenti in resine sintetiche per settore industriale, chimico, farmaceutico e alimentare",31.6,http://www.isoedilsnc.com,"sito aziendale isoedilsnc.com, professionearchitetto.it, pavimentisulweb.it"
Color System 2 di Chiodarelli Matteo e C. S.a.s.,01729290385,"Via Acciaioli, 13 - 44022 Porto Garibaldi; sede legale Via Mantegna, 119 Comacchio",Porto Garibaldi (Comacchio),FE,0533 309574,,,,"imbiancature, tinteggiature, stuccatura",8.1,,"Virgilio Aziende, Imbianchino24, registroaziende.it (P.IVA 01729290385)"
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Cantieri Estensi S.r.l.,,,Ostellato,FE,035 0667160,info@cantieriestensi.it,,,Costruzione di yacht a motore (linea Goldstar),27.4,,"Conoscenza pregressa (stampa nautica); NON verificata online: WebSearch budget esaurito e WebFetch bloccato da EGRESS_BLOCKED; tel: cantieriestensi.it (pagina Contacts & Service ufficiale; numero fisso VoIP dichiarato dal cantiere, sede Via Giotto di Bondone 3, Ostellato)"
Nautica del Delta S.r.l.,01367450382,"Via per Lagosanto 12, 44021 Codigoro",Codigoro,FE,0533 713590,,9,1985,"Vendita imbarcazioni con cantiere nautico annesso: refitting, rimessaggio a secco e al coperto, assistenza e manutenzione; attiva sul mercato dal 1985",16.7,https://nauticadeldelta.it,https://www.ufficiocamerale.it/1397/nautica-del-delta-srl ; https://nauticadeldelta.it/en/refitting/
Cantiere Navale del Delta di Gianella Pierluigi & C. S.n.c.,01052330386,"Piazzale Leo Scarpa 29, 44020 Goro",Goro,FE,0533 996561,,10-19,1981,"Cantiere navale tradizionale: costruzione, riparazione e ristrutturazione di pescherecci e barche da lavoro in vetroresina e legno, imbarcazioni da turismo e diporto; gestione scali di alaggio",14.7,http://www.cantierenavaledeldelta.it,https://www.ufficiocamerale.it/6058/cantiere-navale-del-delta-di-gianella-pierluigi-c-snc ; http://www.cantierenavaledeldelta.it
Nautica Commerciale CN3C,,"Via al Mare 1, 44020 Gorino Ferrarese",Gorino (Goro),FE,0533 999614,info@nauticacn3c.it,,,"Cantiere per costruzione di barche in legno da pesca, pontoni e motopontoni per la molluschicoltura; allestimento pescherecci, rimessaggio, riparazione e manutenzione, attrezzature inox; restauro imbarcazioni storiche (es. Mulino sul Po)",0,http://www.nauticacn3c.it,http://www.nauticacn3c.it/contatti/ ; http://www.nauticacn3c.it/azienda/
Cantiere Navale Al Moro (La Marina di Goro S.r.l.),04123110613,"Via Darsena 15, 44020 Goro",Goro,FE,0533 995391,info@marinagoro.it,,,"Cantiere navale interno alla Marina di Goro: riparazione e manutenzione di imbarcazioni da diporto e da pesca, gru da 11 t, alaggio e varo, rimessaggio",0,https://www.lamarinadigoro.it,https://www.lamarinadigoro.it/cantiere-navale-al-moro/ ; https://www.ufficiocamerale.it/4705/la-marina-di-goro-srl
Nautica Mondo S.r.l.,01393010382,"Via Centro 4 (sede legale Via Centro 5), 44021 Volano di Codigoro",Codigoro (loc. Volano),FE,0533 355209,info@nauticamondo.it,2,1997,"Darsena turistica alla foce del Po di Volano: ormeggi, alaggio e varo, servizio meccanico/officina, rimessaggio, noleggio imbarcazioni",15.1,https://nauticamondo.it,https://www.ufficiocamerale.it/1552/nautica-mondo-srl ; https://nauticamondo.it/contacts
Cantiere Nautico Brancaleoni,,"Via Centro 16, 44021 Volano di Codigoro",Codigoro (Lido di Volano),FE,0533 355118,,,,"Cantiere nautico con darsena privata alla foce del Po di Volano: ormeggio, riparazioni e servizi nautici, rimessaggio",0,https://www.nauticabrancaleoni.com,https://www.pagineazzurre.com/porti-dellemilia-romagna/porto-cantiere-nautico-brancaleoni/
Marina degli Estensi,,,Lido degli Estensi (Comacchio),FE,0533 328428 / 392 9658853,info@portomarinaestensi.it,,,"Porto turistico con rimessaggio, alaggio/varo e assistenza tecnica imbarcazioni",6.7,,"Conoscenza pregressa; NON verificata online: WebSearch budget esaurito e WebFetch bloccato da EGRESS_BLOCKED; tel: assomarinas.it / ilportomarinadegliestensi.it (Porto Marina degli Estensi, Via Fortuna Maris 2, Lido degli Estensi)"
Nautica del Porto di Farinelli Antonio S.n.c.,01033820380,"Via dei Cefali 1, 44022 Comacchio; cantiere: Riva Destra Canale Pallotta / Via Cagliari 56, Lido degli Estensi",Comacchio (Lido degli Estensi / Porto Garibaldi),FE,0533 440619,,,1960,"Cantiere navale: alaggio e varo imbarcazioni a motore e vela (gru fino a 80 t), rimessaggio invernale barche da diporto e da pesca, verniciature, vendita imbarcazioni usate; 50 posti barca fino a 13 m",0,http://www.nauticadelporto.it,http://www.nauticadelporto.it ; https://aziende.virgilio.it/cantieri-navali/lido-degli-estensi-fe/nautica-del-porto-di-farinelli-antonio-s-n-c
Marina Valle Capre - Ship Yard Cantiere Navale di Cavalieri Foschini Berto & C. S.n.c.,,"Via Valle Capre 3, 44029 Lido degli Estensi (sede legale: Via Valle Lepri 3, 44022 Comacchio)","Comacchio (Lido degli Estensi, loc. Valle Capre)",FE,0533 325777,nautica@nauticavallecapre.it,,,"Cantieristica nautica e centro nautico: rimessaggio (circa 100 imbarcazioni da 6 a 13 m), alaggio e varo, manutenzioni, lavorazioni in legno/teak (costruzione, ricondizionamento e sostituzione coperte), assistenza motori, posti barca",0,http://www.nauticavallecapre.it,http://www.nauticavallecapre.it ; https://www.paginegialle.it/comacchio-fe/falegnami/ship-yard-cantiere-navale-cavalieri-foschini-berto
Nautica Cestari (di Cestari Giancarlo),,"Canale Logonovo / Via Acacie 24, 44029 Lido di Spina",Comacchio (Lido di Spina),FE,0533 333406 / 334 3169459,cestarigiancarlo@gmail.com,,,"Centro nautico sul Canale Logonovo: alaggio, varo, guardiania, manutenzione periodica imbarcazioni, pontili di ormeggio; officina autorizzata Mercury",1.1,,"https://matteoderrico.it/nauticacestari.it/ ; https://www.lidicomacchio.net/Categorie/nautica/; tel: coobiz.it (scheda Cestari Giancarlo, Via Quartiere Le Valli / Canale Logonovo, Comacchio - rimessaggio e riparazioni)"
