Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
Nauticarea,,"Via Mazzini, 21050 Porto Ceresio",Porto Ceresio,VA,,,,,"Servizi nautici sul Lago Ceresio: officina riparazione barche, rimessaggio, scivolo di alaggio, porto turistico, noleggio imbarcazioni",0,,https://odriu.eu/nauticarea/ ; https://aziende.virgilio.it/nautica/porto-ceresio-va/nautica-rea
Portonautica di Finotelli Maria,,,Luino,VA,,,,,Servizi nautici e portuali a Luino sul Lago Maggiore (categoria nautica/cantieri navali),16.2,,https://www.paginebianche.it/lombardia/luino/nautica.html
Baldi Marco - Cantiere Navale,,"Via Garibaldi 11, 21014 Laveno Mombello",Laveno-Mombello,VA,0332 668728,,,,"Cantiere navale sul Lago Maggiore: riparazione e manutenzione imbarcazioni, rimessaggio",14.2,,https://www.paginegialle.it/laveno-va/cantieri-navali/baldi-marco
Nautica Lavazza S.r.l.,02620980124,"Via al Lago 35, 21020 Brebbia",Brebbia,VA,0332 989113,,,,"Cantiere nautico sul Lago Maggiore: refitting, restauro motoscafi classici e barche d'epoca, falegnameria nautica, riparazione motori marini, rimessaggio, distributore carburante",9.5,https://www.nauticalavazza.com/,https://www.nauticalavazza.com/ ; https://www.reportaziende.it/nautica_lavazza_srl_va_02620980124
Nautica Ispra S.r.l.,02501450122,"Via Giosuè Carducci 575, 21027 Ispra",Ispra,VA,0332 781663,,,1999,"Cantiere nautico: rimessaggio coperto (capannone ~3000 mq), alaggio e varo con gru da 5 t, assistenza tecnica, riparazione scafi, tappezzeria navale, falegnameria, impianti elettrici, vendita barche",3.1,https://www.nauticaispra.it/,https://www.nauticaispra.it/ ; https://www.ufficiocamerale.it/1251/nautica-ispra-srl
Cantiere Nautico Brovelli di Brovelli Maria Rosa,03125680128,"Via Lungolago 5, 21020 Ranco",Ranco,VA,,,,1933,"Cantiere nautico storico (attivo dal 1933) sul Lago Maggiore: rimessaggio, riparazioni, vendita e noleggio imbarcazioni e attrezzature nautiche",2.6,https://cantierebrovelli.it/,https://cantierebrovelli.it/chi-siamo/ ; https://www.visurissima.it/aziende/CANTIERE-NAUTICO-BROVELLI-DI-BROVELLI-MARIA-ROSA_03125680128.html
Nautica La Rosa dei Venti,,,Malgesso,VA,,,,2004,"Restauro e manutenzione di barche d'epoca e classiche in legno (a vela e motore, anche Riva) fino a 16 m; refitting e rimessaggio. Attiva dal 2004 (Matteo Locati)",3.8,,https://www.barchedepocaeclassiche.it/cantieri-e-restauri/251-la-nautica-la-rosa-dei-venti-sul-lago-maggiore-si-e-specializzata-nel-recupero-di-imbarcazioni-in-legno.html
Cantiere Nautico Verbella,,,Sesto Calende (loc. Lisanza),VA,,,,,"Cantiere nautico e marina sul Lago Maggiore: rimessaggio imbarcazioni, manutenzione e assistenza",9.6,,"Conoscenza pregressa del modello, NON verificata via web: in questa sessione il budget WebSearch era esaurito (200/200) e il proxy di rete blocca tutti i domini esterni (EGRESS_BLOCKED). Dato da riverificare."
Cantiere Nautico F.lli Piccaluga S.r.l.,01422470128,"Via Gerboso 1, 21018 Sesto Calende (loc. Lisanza)",Sesto Calende,VA,0331 977275,daniele.piccaluga@libero.it,,1964,"Cantiere nautico fondato nel 1964: alaggi e vari fino a 25 t, rimessaggio fino a 15 m, sabbiature e verniciature, recuperi, riparazioni e restauri, vendita barche nuove e usate",0,http://www.cantierenauticopiccaluga.it/,http://www.cantierenauticopiccaluga.it/ ; https://www.ufficiocamerale.it/2778/cantiere-nautico-flli-piccaluga-srl
Nautica Ferrari e Tabacchini (Nautica FT),,"Via Pasturazza 5, loc. Lisanza, 21018 Sesto Calende",Sesto Calende,VA,0331 974006,,,,"Cantiere nautico sul Lago Maggiore con 50 anni di esperienza: rimessaggio, manutenzione e riparazione barche, posti barca",0,https://www.nauticaft.com/,https://www.nauticaft.com/
Cantiere Nautico Deghi,,"Via Riviera 4, loc. Lisanza, 21018 Sesto Calende",Sesto Calende,VA,342 7761579,cantierenauticodeghiroberto@gmail.com,,,"Cantiere nautico: posti barca in acqua e al coperto, manutenzione e riparazione motori, riparazione scafi in vetroresina e legno, verniciatura carene, vendita imbarcazioni usate",0,https://www.cantierenauticodeghi.com/,https://www.cantierenauticodeghi.com/contatti/
Marina di Sesto - Centro Nautico (Fauser),00423490036,"Via Angera 1/3, 21018 Sesto Calende",Sesto Calende,VA,333 1180017,,,,"Centro nautico a gestione familiare: rimessaggio invernale, assistenza tecnica e meccanica, posti barca, gestione e assistenza imbarcazioni",0,https://www.marinadisesto.it/,https://www.marinadisesto.it/ ; https://www.paginebianche.it/centronauticofauser-sestocalende
Cantiere Nautico Caielli S.n.c.,,"Loc. Lisanza, 21018 Sesto Calende",Sesto Calende,VA,,,,,Cantiere nautico a Lisanza sul Lago Maggiore,0,,https://www.paginebianche.it/lisanza/cantiere-nautico-caielli-s-n-c_01957237
