Denominazione,Partita IVA,Indirizzo,Città o Paese,Provincia,Telefono,Email,Numero Addetti,Anno di Fondazione,Di cosa si occupano,Distanza dal precedente (km),Sito Web,Fonte dati
CA.FRE. S.n.c.,,"Via G. Puccini, 44 - 29121",Piacenza,PC,0523 451743,,,,"imbiancatura, tinteggiature",0,,Imbianchino24
Impresa Raimondi (Raimondi Edilizia),01441390331,"Corso Vittorio Emanuele II, 148 - 29121",Piacenza,PC,0523 330541 / 0523 1733558 / 335 6147390,info@impresaraimondi.com,9 (titolare + 8 collaboratori),1969,"opere murarie, ristrutturazioni interne ed esterne di edifici del centro storico anche vincolati dalla Soprintendenza, restauro, nuove costruzioni",0,https://impresaraimondi.com,"sito aziendale impresaraimondi.com, Pagine Gialle, Virgilio; P.IVA: ufficiocamerale.it: RAIMONDI FRANCESCO DI RAIMONDI ING.SERGIO S.R.L., Piacenza, PEC impresaraimondi@pec.it (= dominio impresaraimondi.com); tel: paginebianche.it / paginegialle.it (Edilras-Impresa Raimondi, C.so V. Emanuele II 148) + sito impresaraimondi.com/contatti"
Murelli '87 S.r.l.,00943360339,"Via Genova, 15/A/B/C - 29019",San Giorgio Piacentino,PC,0523 371454,info@murelli87.it,,1987,"opere murarie, costruzione di immobili, nuove costruzioni, ristrutturazioni edili, realizzazione fognature",11.4,https://www.impresaedilemurelli.com,"sito aziendale impresaedilemurelli.com, Pagine Gialle, PagineSI, Edilnet (P.IVA 00943360339, REA PC 116525)"
Edilmuratura Filippi,01474670336,"Loc. Mola, 78",Ciriano di Carpaneto Piacentino,PC,0523 850720 / 349 2150773,info@edilmuraturafilippi.it,,,"opere murarie, muratura, edilizia, lavori edili di base per le finiture (oltre 50 anni di esperienza, tre generazioni)",6,https://edilmuraturafilippi.it,sito aziendale edilmuraturafilippi.it; P.IVA: edilmuraturafilippi.it (pagina contatti); tel: sito edilmuraturafilippi.it (snippet Google) + reteimprese.it
ItalianWork S.r.l. (ItalianWorks),01754660338,"Via Europa, 16",Cadeo,PC,+39 0523 647976,amministrazione@italianworks.eu,,,"pavimenti in resina civili e industriali, pavimentazioni industriali, pavimenti drenanti e decorativi, opere edili civili e industriali",6.8,https://www.italianworksrl.it,sito aziendale italianworksrl.it / italianworksrl.com; P.IVA: italianworksrl.it (footer sito)
Montagnapav S.r.l. Pavimentazioni Industriali,04815260965,"Via Guglielmo Marconi, 1 - 29015",Castel San Giovanni,PC,0523 869875,commerciale@montagnapav.com,,,"pavimenti industriali, pavimentazioni in resina, posa in opera di pavimentazioni per industrie",34.3,https://montagnapav.com,"sito aziendale montagnapav.com, Virgilio, ufficiocamerale.it (P.IVA 04815260965, fatturato 2022 circa 11,9 mln euro)"
,,,,,,,,,,,,
CANTIERI NAVALI E NAUTICA,,,,,,,,,,,,
Centro Nautico Piacenza di Vitaloni Daniele,01139870339,"Strada di Mortizza 23, loc. Bosco dei Santi, 29122 Piacenza (PC)",Piacenza,PC,0523 505132,info@centronauticopiacenza.it,,1994,"Officina nautica sulle rive del Po: assistenza e manutenzione motori fuoribordo (Suzuki, Honda, Yamaha, Evinrude), rimessaggio coperto/scoperto con oltre 100 posti barca, vendita barche, gommoni, motori e rimorchi, montaggio elettronica di bordo (Garmin, Osculati)",0,https://www.centronauticopiacenza.com,https://www.ufficiocamerale.it/5963/centro-nautico-piacenza-di-vitaloni-daniele ; https://www.centronauticopiacenza.com/
F.N. Project S.r.l.,01463000339,"Via Ferruccio Tansini 27/B, 29122 Piacenza (PC)",Piacenza,PC,,fnprojectsrl@pec.it,10-15,2006,Costruzione e allestimento di imbarcazioni da diporto e sportive (ATECO 30.12); ricavi 2021 circa 1 milione di euro,0,,https://www.ufficiocamerale.it/8831/fn-project-societa-a-responsabilita-limitata-enunciabile-anche-fn-project-srl
HP Nautica S.r.l.,01862770334,"Via Liguria 13, 29122 Piacenza (PC)",Piacenza,PC,,,11,,Costruzione e allestimento di imbarcazioni da diporto e sportive (ATECO 30.12); fatturato circa 486 mila euro,0,,https://atoka.io/public/it/azienda/hp-nautica-srl/d87935c1a0c2
Baia Nautica S.r.l.s.,01875450338,"Via Ferruccio Tansini 20, 29122 Piacenza (PC)",Piacenza,PC,,,3,,Lavorazioni e sistemazioni su imbarcazioni da diporto e sportive (ATECO 30.12.00); fatturato circa 186 mila euro,0,,https://www.ufficiocamerale.it/1788/baia-nautica-srls ; https://atoka.io/public/it/azienda/baia-nautica-srls/f02d2317d8ba
Impianti Nautici S.r.l.s.,01738630332,"Via Pietro Castagna 2, 29121 Piacenza (PC)",Piacenza,PC,,,,,Impiantistica e costruzione per imbarcazioni da diporto e sportive (ATECO 30.12),0,,https://www.reportaziende.it/impianti_nautici_societa_a_responsabilita_limitata_semplificata_oppure_impiant_pc_01738630332
New Wave S.r.l.s.,01866270331,"Via Genova 2/M, Piacenza (PC)",Piacenza,PC,,,,2023,Costruzione di imbarcazioni da diporto e sportive (ATECO 30.12); fatturato circa 729 mila euro; REA PC 197594,0,,https://registroaziende.it/azienda/new-wave-societa-a-responsabilita-limitata-semplificata-enunciabile-anche-new-wave-srls-piacenza
"L.M. Yachts di Lazri Valmir, Muca Orgest e Lazri Leon S.n.c.",,,Piacenza,PC,,,,,Lavorazioni e allestimenti su imbarcazioni da diporto e sportive (ATECO 30.12),0,,https://www.fatturatoitalia.it/ateco/30_12
Absolute S.p.A. (Absolute Yachts),01359770334,"Via F. Petrarca 4, 29027 Podenzano (PC)",Podenzano,PC,0523 354011,,"50-99 (dato camerale, in crescita)",2002,"Cantiere navale: costruzione di yacht a motore di lusso (flybridge e coupé) - ATECO 30.12; fondata dagli ex vertici dei Cantieri Nautici Gobbi; fatturato 2024 circa 108,8 milioni di euro",10.8,https://www.absoluteyachts.com,https://www.ufficiocamerale.it/8796/absolute-spa ; https://it.kompass.com/c/absolute-s-p-a/it0380894/
Mylius Yacht S.r.l.,01813590336,"Via XXV Aprile 19, 29027 Podenzano (PC)",Podenzano,PC,0523 538011,mylius@mylius.it,28 (2024),,"Cantiere navale: costruzione di yacht a vela veloci interamente in carbonio, da regata e crociera - ATECO 30.12",0,https://mylius.it,https://www.ufficiocamerale.it/2885/mylius-yacht-srl
Nautical Style Yachts S.r.l.,,,San Giorgio Piacentino,PC,,,,,Costruzione e allestimento di imbarcazioni da diporto e sportive (ATECO 30.12),4.3,,https://www.fatturatoitalia.it/ateco/30_12
New Nautica di Brusamonti Fabio,00941910333,"Via Granelli 26/A, San Nazzaro, 29010 Monticelli d'Ongina (PC)",Monticelli d'Ongina (fraz. San Nazzaro),PC,0523 811742,,,,"Cantiere nautico fluviale sul Po presso San Nazzaro/Isola Serafini: rimessaggio barche, verniciatura imbarcazioni, manutenzione e riparazione, equipaggiamenti nautici",21.1,,https://www.ufficiocamerale.it/8711/new-nautica-di-brusamonti-fabio ; https://aziende.virgilio.it/nautica/monticelli-d-ongina-pc/brusamonti-fabio
Rimessando,,"Via Mulino Nuovo 6, 29010 Sarmato (PC)",Sarmato,PC,333 4709464,,,,"Rimessaggio barche, camper e caravan (coperto e scoperto) lungo la via Emilia Piacentina: carico/scarico acque, carica batterie, compressore, allacciamento elettrico, videosorveglianza, accesso 24h; nessuna officina interna documentata",34.3,http://www.rimessando.it,http://rimessando.it/ ; https://www.reteimprese.it/campers-caravans-roulottes-accessori/sarmato/azienda/724806
R.T.N. Realizzazioni Tecniche Navalmeccaniche S.r.l.,00273070334,"Località Ca' Verde snc, 29011 Borgonovo Val Tidone (PC)",Borgonovo Val Tidone,PC,0523 861077,,,,"Navalmeccanica: propulsione navale per imbarcazioni commerciali e da diporto (eliche, linee d'asse, invertitori-riduttori, timoni, eliche di manovra), ricambi e prodotti navali innovativi; oltre 50 anni di attività nel settore",6.5,,https://www.kompass.com/z/it/c/r-t-n-realizzazioni-tecniche-navalmeccaniche-societa-a-respon/it0236504/ ; https://www.coobiz.it/azienda/borgonovo-val-tidone-commercio-igrosso/co8905290
