ea,sym,tf,daq,lab,nis,pfis,ddis,noos,pfoos,ddoos,tot,nmin,manca,causa,ncelle
SupertrendReversal,225JPY,H1,2024.09.26,r5,99.0,1.27851,1.1721,122.0,1.07262,2.0601,221.0,99.0,79.0,"TF ALTO (H1): si scende, se il costo passa",27
SupertrendReversal,NASUSD,?,?,(nolab),79.0,0.60863,2.9788,141.0,0.50722,5.8299,220.0,79.0,80.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
EMA200,AUDJPY,?,?,(nolab),123.0,1.02488,3.9878,97.0,3.11833,2.6912,220.0,97.0,80.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SuperWave,GBPUSD,?,?,(nolab),74.0,0.70279,4.1484,140.0,1.19498,1.9157,214.0,74.0,86.0,TF [NON DETERMINATO] -- da leggere nel file prova,13
SuperWave,U30USD,?,?,(nolab),75.0,1.10562,5.1437,137.0,1.05807,4.827,212.0,75.0,88.0,TF [NON DETERMINATO] -- da leggere nel file prova,13
SupRev_NAS_H1_Ottimizzato,NASUSD,H1,2024.09.26,r3,78.0,0.90694,1.7523,131.0,0.92991,2.027,209.0,78.0,91.0,"TF ALTO (H1): si scende, se il costo passa",25
EMA200,GBPUSD,?,?,(nolab),75.0,1.38233,3.1039,132.0,1.01764,6.3935,207.0,75.0,93.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
CostToCost,CHFJPY,H4,2024.09.26,r40,82.0,1.58426,6.8509,124.0,0.78851,13.6987,206.0,82.0,94.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),3
IntradayMomentum,U30USD,M30,2024.09.26,r141b,76.0,0.46117,5.3624,130.0,1.25027,1.7874,206.0,76.0,94.0,"MOTORE LENTO a M30: TF gia' basso, finestra al pavimento",2
EMA200,GBPJPY,?,?,(nolab),92.0,1.42294,2.5225,114.0,0.98845,3.9372,206.0,92.0,94.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SuperWave,USDJPY,?,?,(nolab),80.0,0.85194,4.2749,124.0,0.51556,7.2884,204.0,80.0,96.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
CrossEma,XAUUSD,H1,2024.09.26,r86coro,84.0,1.10689,10.9219,119.0,1.18324,12.3006,203.0,84.0,97.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),8
EMA200,XAUUSD,?,?,(nolab),70.0,0.74306,4.8314,116.0,0.94745,7.6404,186.0,70.0,114.0,TF [NON DETERMINATO] -- da leggere nel file prova,41
WOL,NASUSD,?,?,(nolab),44.0,0.3619,0.3646,136.0,0.01686,4.1095,180.0,44.0,120.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
EMA200,SPXUSD,H4,2024.09.26,r3,37.0,2.45957,1.2224,132.0,1.03129,4.902,169.0,37.0,131.0,"TF ALTO (H4): si scende, se il costo passa",16
ORB,NASUSD,M5,2024.09.26,r7b,64.0,1.69254,0.9401,104.0,0.68326,2.5029,168.0,64.0,132.0,"MOTORE LENTO a M5: TF gia' basso, finestra al pavimento",12
Nasdaq_Apertura_US,NASUSD,M5,2024.09.26,r24,61.0,1.12324,5.9369,105.0,1.01344,8.3145,166.0,61.0,134.0,"MOTORE LENTO a M5: TF gia' basso, finestra al pavimento",120
AtrExhaustVol,NASUSD,M30,2024.09.26,r141c,70.0,0.97227,5.6897,96.0,1.22915,4.1404,166.0,70.0,134.0,"MOTORE LENTO a M30: TF gia' basso, finestra al pavimento",2
IBRetest,D30EUR,?,?,P0IBRTDAX,58.0,1.21062,2.7988,107.0,0.96493,5.2515,165.0,58.0,135.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
SuperWave,NASUSD,?,?,(nolab),52.0,1.25527,1.3432,108.0,0.6877,3.2259,160.0,52.0,140.0,TF [NON DETERMINATO] -- da leggere nel file prova,20
SuperWave,XAUUSD,?,?,(nolab),71.0,0.55563,4.0236,87.0,1.46552,2.6914,158.0,71.0,142.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
WOL,U30USD,?,?,(nolab),43.0,0.32964,0.3308,107.0,1.56495,0.5182,150.0,43.0,150.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
PTE,225JPY,?,?,(nolab),83.0,1.17331,4.316,65.0,0.50116,6.5172,148.0,65.0,152.0,TF [NON DETERMINATO] -- da leggere nel file prova,16
SupertrendReversal_Multi,XAUUSD,?,?,(nolab),78.0,0.90092,3.0023,68.0,0.52707,7.6573,146.0,68.0,154.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
GoldenCross_Ottimizzato,XAUUSD,H1,2024.09.26,r87boro,52.0,1.50776,5.1016,84.0,1.40154,5.1907,136.0,52.0,164.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),152
SuperWave_DAX_H4_Ottimizzato,D30EUR,?,?,(nolab),27.0,1.04006,3.1604,108.0,0.60884,8.5752,135.0,27.0,165.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
WOL,SPXUSD,?,?,(nolab),19.0,0.0,1.0331,108.0,0.14835,2.1555,127.0,19.0,173.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SuperWave,225JPY,?,?,(nolab),41.0,1.64521,0.9399,83.0,0.77262,2.4447,124.0,41.0,176.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SupertrendReversal,GBPJPY,H4,2024.09.26,r21,53.0,3.34829,3.1848,70.0,0.57446,5.934,123.0,53.0,177.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),21
WOL,D30EUR,?,?,(nolab),20.0,0.0,1.3973,102.0,0.07912,3.4372,122.0,20.0,178.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
PTE,GBPUSD,H1,?,pte72gbp,42.0,17.22736,1.2849,74.0,1.50447,2.7204,116.0,42.0,184.0,"TF ALTO (H1): si scende, se il costo passa",62
SupRev_DAX_H4_Ottimizzato,D30EUR,?,?,(nolab),62.0,0.53761,5.3603,52.0,2.08438,5.4515,114.0,52.0,186.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
CostToCost,EURJPY,H4,2024.09.26,r41,48.0,1.01642,9.9258,64.0,1.74084,9.4547,112.0,48.0,188.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),5
SupertrendReversal,CHFJPY,H4,2024.09.26,r21,52.0,0.75398,5.0282,56.0,0.8341,4.4738,108.0,52.0,192.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),12
PTE,USDJPY,H1,?,pte72jpy,35.0,0.77193,3.3578,72.0,2.08728,3.1584,107.0,35.0,193.0,"TF ALTO (H1): si scende, se il costo passa",46
CostToCost,GBPCAD,H4,2024.09.26,r41,44.0,1.29824,5.1098,62.0,1.44312,6.1856,106.0,44.0,194.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),5
MaxMinNotte,D30EUR,M15,2024.09.26,r133c,38.0,1.99749,4.8909,65.0,1.01569,9.0477,103.0,38.0,197.0,"MOTORE LENTO a M15: TF gia' basso, finestra al pavimento",9
SupertrendReversal,XAUUSD,?,?,(nolab),53.0,1.60297,0.9623,49.0,0.96932,1.851,102.0,49.0,198.0,TF [NON DETERMINATO] -- da leggere nel file prova,28
GoldenCross_Ottimizzato,USDJPY,H1,2024.09.26,r20,44.0,0.91365,5.7603,57.0,1.40064,5.0615,101.0,44.0,199.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),6
GoldenCross_Ottimizzato,GBPUSD,H1,2024.09.26,r20,37.0,0.8274,5.3125,61.0,1.37284,4.192,98.0,37.0,202.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),6
IBRetest,U30USD,?,?,P0_IBRETEST,42.0,0.38242,7.3813,53.0,0.69663,7.6123,95.0,42.0,205.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
SupertrendReversal,AUDUSD,H4,2024.09.26,r21,39.0,0.29857,8.4369,55.0,0.75846,3.9548,94.0,39.0,206.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),12
GoldenCross_Ottimizzato,U30USD,H1,2024.09.26,r4,31.0,1.02632,2.7117,63.0,0.69626,6.7413,94.0,31.0,206.0,"TF ALTO (H1): si scende, se il costo passa",2
EasyTrend,CHFJPY,H1,2024.09.26,r53,37.0,1.32582,5.2215,57.0,1.24375,7.2572,94.0,37.0,206.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),24
SupertrendReversal,XAGUSD,?,?,(nolab),8.0,1.38264,0.409,85.0,0.69621,6.5499,93.0,8.0,207.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
GoldenCross_Ottimizzato,D30EUR,H1,2024.09.26,r4,32.0,0.50632,4.2837,60.0,1.13312,3.9219,92.0,32.0,208.0,"TF ALTO (H1): si scende, se il costo passa",2
GoldenCross_Ottimizzato,NASUSD,H1,2024.09.26,r4,28.0,0.5539,4.0687,64.0,0.97945,5.0442,92.0,28.0,208.0,"TF ALTO (H1): si scende, se il costo passa",2
GoldenCross_V1,XAUUSD,?,?,r87aorov1,32.0,1.49425,2.2759,57.0,1.25313,6.0819,89.0,32.0,211.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
SupertrendReversal,E35EUR,H1,2024.09.26,r18,43.0,1.7943,0.9099,44.0,0.4865,3.4224,87.0,43.0,213.0,"TF ALTO (H1): si scende, se il costo passa",12
EasyTrend,AUDJPY,H1,2024.09.26,r53,26.0,1.02675,7.7752,60.0,1.14328,6.6035,86.0,26.0,214.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),24
IBRetest,NASUSD,?,?,P0IBRTNAS,35.0,0.56297,5.8012,49.0,0.59292,5.3076,84.0,35.0,216.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
GoldenCross,XAUUSD,?,?,(nolab),31.0,1.4665,2.2657,52.0,1.06599,5.7502,83.0,31.0,217.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
EasyTrend,GBPUSD,H1,2024.09.26,r53,32.0,1.45046,5.5269,50.0,1.29676,5.6501,82.0,32.0,218.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),24
PTE_Ottimizzato,GBPUSD,H1,?,ott74gbp,26.0,37.73037,1.0131,52.0,1.7875,2.1118,78.0,26.0,222.0,"TF ALTO (H1): si scende, se il costo passa",28
PTE_Ottimizzato,USDJPY,H1,?,ott74jpy,32.0,1.37056,2.0472,44.0,0.86432,3.7174,76.0,32.0,224.0,"TF ALTO (H1): si scende, se il costo passa",14
CostToCost,XAGUSD,H4,2024.09.26,r40,13.0,0.48231,6.1897,60.0,1.38643,6.5805,73.0,13.0,227.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),5
PTE,U30USD,?,?,(nolab),28.0,1.56894,4.1138,43.0,1.32162,2.6949,71.0,28.0,229.0,TF [NON DETERMINATO] -- da leggere nel file prova,28
SondaOrologio,D30EUR,?,?,11_d30eur_long,16.0,1.06811,0.2716,55.0,0.67184,1.1794,71.0,16.0,229.0,TF [NON DETERMINATO] -- da leggere nel file prova,144
EasyTrend,EURGBP,H1,2024.09.26,r48a,20.0,0.89529,7.2181,44.0,0.74079,9.8564,64.0,20.0,236.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),22
GoldenCross,USDCHF,H4,2024.07.05,r87bchf,30.0,1.51287,4.3515,34.0,1.46366,2.7147,64.0,30.0,236.0,"TF ALTO (H4): si scende, se il costo passa",146
HVAncora,U30USD,M30,2024.09.26,r141d,26.0,1.36137,2.239,37.0,0.92959,3.1207,63.0,26.0,237.0,"MOTORE LENTO a M30: TF gia' basso, finestra al pavimento",4
wf_larry,EURCAD,?,?,(nolab),28.0,0.8375,6.6951,35.0,1.50438,7.2379,63.0,28.0,237.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
PTE,D30EUR,?,?,(nolab),23.0,0.54959,5.2163,35.0,1.52135,3.5127,58.0,23.0,242.0,TF [NON DETERMINATO] -- da leggere nel file prova,16
wf_larry,GBPUSD,?,?,(nolab),20.0,1.32331,1.6541,38.0,1.40779,5.085,58.0,20.0,242.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
PTE,NASUSD,?,?,(nolab),19.0,0.46221,3.8078,38.0,1.0996,3.8107,57.0,19.0,243.0,TF [NON DETERMINATO] -- da leggere nel file prova,16
wf_larry,GBPJPY,?,?,(nolab),28.0,0.71365,6.3304,29.0,0.5968,7.0479,57.0,28.0,243.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
wf_larry,NZDCAD,?,?,(nolab),21.0,1.70536,2.9544,35.0,1.33318,4.642,56.0,21.0,244.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
PunteLarry,U30USD,H1,2024.09.26,r39,16.0,1.72368,1.7808,38.0,1.8104,3.8711,54.0,16.0,246.0,"TF ALTO (H1): si scende, se il costo passa",2
wf_larry,U30USD,?,?,(nolab),16.0,1.25539,4.6079,38.0,1.7835,3.8678,54.0,16.0,246.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
PunteLarry,EURAUD,H1,2024.09.26,r39,20.0,2.13472,3.0984,33.0,1.74416,3.8683,53.0,20.0,247.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),2
wf_larry,EURAUD,?,?,(nolab),20.0,2.08291,3.046,33.0,1.74052,3.7217,53.0,20.0,247.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
wf_larry,GBPAUD,?,?,(nolab),21.0,0.52592,5.5914,31.0,3.04043,4.542,52.0,21.0,248.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
wf_larry,XAUUSD,?,?,(nolab),19.0,0.74356,5.9756,29.0,1.3623,4.3076,48.0,19.0,252.0,TF [NON DETERMINATO] -- da leggere nel file prova,3
MaxMinNotte_DAX_Short_Ottimizzato,D30EUR,M15,2024.09.26,r81c,20.0,2.92019,4.0891,22.0,2.69515,3.7338,42.0,20.0,258.0,"MOTORE LENTO a M15: TF gia' basso, finestra al pavimento",21
BreakingBand,EURUSD,H1,2024.09.26,r33,14.0,1.21191,1.765,28.0,0.68478,2.988,42.0,14.0,258.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),9
BreakingBand,GBPUSD,H1,2024.09.26,r34,13.0,2.72613,1.696,26.0,1.7302,3.4801,39.0,13.0,261.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),9
GoldenCross,NZDUSD,H4,2024.07.05,r87bnzd,10.0,1.72156,1.276,29.0,1.32885,4.6286,39.0,10.0,261.0,"TF ALTO (H4): si scende, se il costo passa",146
PunteLarry,GBPJPY,H1,2024.09.26,r39,18.0,1.27443,3.3176,20.0,2.05102,2.8354,38.0,18.0,262.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),2
LiquiditySweep,GBPUSD,M15,2024.07.05,r89agbp,14.0,0.23179,7.7388,24.0,1.05655,5.8693,38.0,14.0,262.0,"MOTORE LENTO a M15: TF gia' basso, finestra al pavimento",11
GoldenCross_V1,USDCHF,?,?,r87achfv1,20.0,3.62765,1.5584,17.0,2.18837,2.3377,37.0,17.0,263.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
PunteLarry,GBPUSD,H1,2024.09.26,r39,11.0,1.96588,1.6328,25.0,1.85388,5.2442,36.0,11.0,264.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),2
GapFill,F40EUR,H1,2024.09.26,r36,14.0,0.45662,7.1654,21.0,2.37618,2.6084,35.0,14.0,265.0,"TF ALTO (H1): si scende, se il costo passa",3
PunteLarry,EURCAD,H1,2024.09.26,r39,15.0,1.05948,4.5307,19.0,1.26285,4.8482,34.0,15.0,266.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),2
GoldenCross,USDCAD,H4,2024.07.05,r87bcad,16.0,0.60765,4.1776,17.0,0.91678,2.9947,33.0,16.0,267.0,"TF ALTO (H4): si scende, se il costo passa",146
GapFill,U30USD,H1,2024.09.26,r37,10.0,1.51706,3.117,20.0,1.30472,2.8653,30.0,10.0,270.0,"TF ALTO (H1): si scende, se il costo passa",5
GapFill,SPXUSD,H1,2024.09.26,r36,10.0,0.66928,2.6564,20.0,1.21161,2.6979,30.0,10.0,270.0,"TF ALTO (H1): si scende, se il costo passa",3
BreakingBand,AUDUSD,H1,2024.09.26,r33,11.0,66.73913,0.7412,18.0,1.20944,1.644,29.0,11.0,271.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),9
GapFill,225JPY,H1,2024.09.26,r37,11.0,3.20399,1.3321,15.0,1.14398,4.3639,26.0,11.0,274.0,"TF ALTO (H1): si scende, se il costo passa",5
GapFill,UKOIL,H1,2024.09.26,r36,8.0,0.93531,2.0293,18.0,1.98274,3.5621,26.0,8.0,274.0,"TF ALTO (H1): si scende, se il costo passa",3
GapFill,USOIL,H1,2024.09.26,r36,8.0,0.42489,2.4169,15.0,1.97888,2.015,23.0,8.0,277.0,"TF ALTO (H1): si scende, se il costo passa",3
GoldenCross_V1,USDCAD,?,?,r87acadv1,10.0,3.51903,1.2821,12.0,2.89364,1.2674,22.0,10.0,278.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
GoldenCross_V1,NZDUSD,?,?,r87anzdv1,8.0,2.77736,0.9352,14.0,1.6679,2.8147,22.0,8.0,278.0,TF [NON DETERMINATO] -- da leggere nel file prova,2
BreakingBand,NZDJPY,H1,2024.09.26,r33,6.0,148.69347,0.7525,14.0,1.08468,2.3157,20.0,6.0,280.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),3
GapFill,AUDUSD,H1,2024.09.26,r37,5.0,1.33963,1.3003,12.0,2.9335,1.8735,17.0,5.0,283.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),5
PunteLarry,XAUUSD,H1,2024.09.26,r39,5.0,1.24547,1.3032,11.0,2.6595,2.3737,16.0,5.0,284.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),2
GapFill,EURUSD,H1,2024.09.26,r36,5.0,0.68244,1.9869,10.0,2.65717,2.7109,15.0,5.0,285.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),5
GapFill,GBPUSD,H1,2024.09.26,r37,3.0,1.62,1.4359,8.0,4.94024,2.4871,11.0,3.0,289.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),5
SupertrendInvert,USDJPY,?,?,(nolab),2.0,98.14286,0.6042,2.0,183.75439,1.0323,4.0,2.0,296.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
OpeningReversalB,U30USD,?,?,P0C_FT,3.0,3.562,0.9648,0.0,0.0,0.0,3.0,0.0,297.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
